feature_set,model,seed,curated,accuracy,weighted_f1,macro_f1,weighted_auc,auc_Blackhole Attack,auc_Flooding Attack,auc_Normal Traffic,auc_Sybil Attack,auc_Wormhole Attack,best_params
summary_plus_images,rf,7,True,0.8059587471352178,0.8060723572713299,0.8090147648118895,0.963088357438712,0.9388838809205229,0.9780034190178508,0.9912289862455426,0.9918485282962836,0.9212642280358925,"{'n_estimators': 300, 'max_depth': 20}"
summary_plus_images,rf,2024,True,0.8067226890756303,0.8069367921023815,0.8098019031848619,0.9630924925689618,0.9390543449702287,0.9776962558932952,0.9912343988792665,0.9916324030859383,0.9215392463171034,"{'n_estimators': 300, 'max_depth': 20}"
combined,logreg,42,False,0.8620539124740806,0.8624467361311801,0.86693872613163,0.9741826894832177,0.9660742168332124,0.9925392810658707,0.9859493335031415,0.9993153964840884,0.9334195112247549,{'C': 10.0}
combined,logreg,7,False,0.8620539124740806,0.8624467361311801,0.86693872613163,0.9741826894832177,0.9660742168332124,0.9925392810658707,0.9859493335031415,0.9993153964840884,0.9334195112247549,{'C': 10.0}
combined,logreg,2024,False,0.8620539124740806,0.8624467361311801,0.86693872613163,0.9741826894832177,0.9660742168332124,0.9925392810658707,0.9859493335031415,0.9993153964840884,0.9334195112247549,{'C': 10.0}
combined,rf,42,False,0.9289533995416348,0.9293661041715634,0.9327268779311357,0.9931042382775667,0.9874262786393909,0.9995818209484195,0.9982810554281994,0.9994428998191711,0.9828462034755127,"{'n_estimators': 300, 'max_depth': None}"
combined,rf,7,False,0.9290625341045509,0.9294264703230005,0.9329825481380289,0.9930389478037719,0.9871089862371321,0.9996484678911393,0.9981420515650649,0.9995379392054689,0.9828594042820863,"{'n_estimators': 300, 'max_depth': None}"
combined,rf,2024,False,0.9289533995416348,0.9293216938953202,0.9327436823402092,0.9931254137191096,0.9873350136648525,0.9996208128736603,0.9981840171647705,0.9995386543533262,0.9830162447583091,"{'n_estimators': 300, 'max_depth': None}"
combined,svm,42,False,0.829477245443632,0.8307451448341817,0.8341923880741937,0.9606459084448594,0.9622902728316006,0.9791868228493035,0.9813608174845758,0.9981349320275485,0.8895998726481221,"{'C': 10.0, 'gamma': 'auto'}"
combined,svm,7,False,0.8299683509767544,0.8309248291300053,0.834528524077472,0.9603961685184254,0.9626991314129347,0.9776607717018818,0.9813920374143884,0.9984396791131565,0.88886241832145,"{'C': 10.0, 'gamma': 'auto'}"
combined,svm,2024,False,0.8285496016588454,0.829972334698064,0.8333820872938131,0.9596363501142645,0.963187224505264,0.9792337319167249,0.982366063847852,0.9956225987852084,0.8852482520279197,"{'C': 10.0, 'gamma': 'auto'}"
combined,rf,42,True,0.9584742988104332,0.9585275626265611,0.9610785495241772,0.9967285339462654,0.9934828020094171,0.9999904554452598,0.9998171201958455,0.9999545692913817,0.9914350259048762,"{'n_estimators': 300, 'max_depth': 20}"
combined,rf,7,True,0.9578740587143948,0.9579340000988101,0.9605276066842905,0.9966310630333638,0.993207704819129,0.9999915330562789,0.9998127246419879,0.999979486548304,0.9912345137206737,"{'n_estimators': 100, 'max_depth': 20}"
combined,rf,2024,True,0.9579286259958529,0.95798471676794,0.9605539984739263,0.9967173524886985,0.9934513172764029,0.9999904334531982,0.9998076480868285,0.9999802205158417,0.9914000247065196,"{'n_estimators': 300, 'max_depth': 20}"
